Author,Rating,Review
LagToScam,Rated 5 out of 5 stars,hay day has been really fun to play lately and ive been playing it every day for 2 months now most people say in app purchases are a scam but see it as a better way to spend your money then gambling i gladly spend 200€ a month on supercell games because they don't scam you and their support is always there to help as for hay day i really hope you could add indicators to see wich people of your neighborhood are online and another great function would be that you could designate certain spots in your roadside shop to your neighborhood only so regular people dont steal the items before your friends get to them. i hope theres many more years of hay day and keep up the good work
Ian Wooller,Rated 1 out of 5 stars,I cannot change the Members in Clan War League and as usual Supercell have done nothing.
James Rolf,Rated 1 out of 5 stars,"I bought the Brawl Pass for my son on 4 June 2025. It didn’t activate or show in-game, so I assumed it had failed and requested a refund. I then repurchased the pass the next day, and it worked correctly.Despite still paying full price, the account was penalised -4800 gems as if we had received something for free — which we hadn’t. I’ve provided receipts and asked support repeatedly to check the logs, but they just send the same scripted response.If Supercell sees this, I’m happy to provide full details. We’re not asking for anything free — just for a penalty to be removed that shouldn’t be there."
Ewelina,Rated 1 out of 5 stars,"I spent over £XXX on Squad Busters, only to realise I was trapped in an aggressive and manipulative spending cycle. The game uses deceptive offers, inconsistent pricing, and deliberately confusing mechanics to get you hooked, then punishes you for progressing.The biggest scam? League Points resets. At the start of every season, your progress is either halved or reset to 4,000 trophies, regardless of how much you earned (or paid) to reach 10,000+. This isn’t a “competitive balance”, it’s a clever tactic to make you grind again and spend more just to regain what you already had. There’s zero transparency or warning in-game. You just log in and everything’s gone.When I raised concerns, I was given generic, copy-paste replies. I provided all 40+ transaction receipts for a refund request (due to a major update that ruined the gameplay experience), and they refunded only two transactions, totalling less than £15. The rest? Ignored. They passed the buck to Google, then claimed they ""can’t help with multiple refunds"" unless I close my account permanently.That’s blackmail, not customer support.This game preys on dopamine loops, withholds transparency, and has zero accountability for the money you spend. It’s designed to drain your wallet with just enough rewards to keep you from leaving, until you realise you've been scammed.I regret every penny I gave to Supercell. I will never support another one of their titles again, and I urge other players to stay away or demand accountability."
SilkeFighter,Rated 1 out of 5 stars,"Horrible game developing company that is made to grab as much cash off of it's users without acknowledging that the 'f2p' player base is getting left in the dust and demolished by those who spend countless amounts of money.(Clash Royale, by the way). The prices in the shop and basically everywhere in the game, are absolutely insane. Your money is worth nearly nothing in this game, and in this entire company basically.Furthermore, the balancing in the game, and perhaps in all of their games, is absolutely awful. Instead of nerfing cards that need to be nerfed and buffing where needed, they rework and nerf the most random cards that are barely ever used in player's decks. Each new card that they release, if they even release a new card, is just made to be even more unbalanced than the card released before. This way, it's just an endless cycle of making cards unbalanced and balancing them by releasing something that is even worse in terms of balancing.It seems like Supercell just completely ignores this fact, rather sad.In my opinion, it's best to not even play the games at all anymore, and if you consider spending money, don't even think about it. From what I've read, Supercell likes to scam their users who spend money in case something goes wrong, and you are likely next to get scammed. After all, the entire company and it's games are a massive scam."
Jamie osborne,Rated 1 out of 5 stars,"I've played clash of clans for 10 years and spent a lot of money, 2 days ago supercell suspended my account for 7 days because I joked with my clan mates saying I was going to sell my account. Absolutely disgraceful. The only company that will ban you for joking with friends."
Anton,Rated 1 out of 5 stars,I haven’t been able to play for a week now because support isn’t answering. They should really let players stop the account deletion on their own
Dini Muetter,Rated 1 out of 5 stars,"I’m writing this because Supercell made a simple situation unbearable. I paid for an in-game digital item. They took the money. I never received the product.I contacted their support multiple times. No resolution. I reached out to their legal inbox with a formal message referencing contract law and GDPR. I received a canned auto-reply — then silence.So I escalated the right way:I filed with SECO (Swiss consumer authority)I filed with KKV (Finnish consumer authority)I submitted a GDPR Article 15 data access requestSupercell ignored all of it. Not a single human response.Now I’m posting this because they don’t deserve to hide behind silence while I get buried in automated emails. I’m not asking anymore. I’m exposing.Every ignored message is now evidence. Every comment they delete gets screenshotted. And I’ll keep posting until they answer or the regulators enforce it for them.If you’re considering spending money in one of their games — don’t. If anything breaks, they will ghost you too.This is the only way to be heard."
Anthony Dean,Rated 1 out of 5 stars,"Supercell ID (2 parts)After reviewing Clash of Clans (CoC) you need to remember that it comes in 2 parts - the game itself (CoC) and Supercell ID.I've been gaming since the Atari days, so I've played them all.The game is great at first and highly addictive, so you find yourself buying from the Clash Shop to improve your standing. Especially if you're playing this interactively online, which I've been doing for a month now. (I've spent $150)After a month of SERIOUS playing time, I realised that perhaps it would be a good idea to 'preserve' my progress and investment.You're supposed to do this in-app, but I couldn't open the Supercell ID icon or change the 'disconnected' button, which would've allowed me to do this (supposedly).Of course I tried to reach out to the Support and Help team, who's advice led to the complete loss of my data, progress and investment.THEY ACTUALLY ASSIGNED THE CHANGES TO AN UNKNOWN USER! I've checked the User Groups and Chat Rooms - this is a systemic problem.Now here's the rub and it's a HUGE issue.If such ineptitude exists; what real protection is there from scammers, hackers and data miners?CoC and Supercell ID are digitally linked together, hand in glove.In conclusion the problems the game makers have is the Supercell ID issue. It appears open to serious misuse and possible criminal activity. "
Game Boy,Rated 1 out of 5 stars,"Hiring the worst, untalented product and tech people building the wrong mechanics and focusing on worthless visual optics to attract downloads and users. They're a company whose products flourish on undiscerning kids. I've played games for more than a decade, extremely poor understanding of game balances. "
